"CountryCode","GDP"
"ABW",NA
"ADO",NA
"AFG","1893.07568149927"
"AGO","7230.49654733803"
"ALB","9811.15010608907"
"ARE","57028.2245463724"
"ARG",NA
"ARM","7290.6390715562"
"ATG","20577.292106724"
"AUS","42521.7149861766"
"AUT","44215.8637213227"
"AZE","15888.2179950886"
"BDI","736.843294747928"
"BEL","40687.44079712"
"BEN","1685.29742882893"
"BFA","1531.72060228263"
"BGD","2724.63735007222"
"BGR","15442.8101925899"
"BHR","40732.171464966"
"BHS","22840.788518762"
"BIH","9149.16557668275"
"BLR","16906.9218948791"
"BLZ","8286.95915928284"
"BMU","52137.3003731125"
"BOL","5650.43075193534"
"BRA","15233.7192977495"
"BRB","15260.5457596422"
"BRN","71664.3740964322"
"BTN","7138.40537809518"
"BWA","14904.9371849544"
"CAF","931.605067040182"
"CAN","41865.0455174196"
"CHE","54573.1972084638"
"CHI",NA
"CHL","21049.5197884691"
"CHN","11016.9890595931"
"CIV","2928.23006879472"
"CMR","2661.30820279509"
"COG","5631.30129360079"
"COL","11635.9837185568"
"COM","1434.84614577234"
"CPV","6224.01845689138"
"CRI","13161.7131320057"
"CUB","19586.2335599604"
"CYP","31709.7654525178"
"CZE","28332.5912653639"
"DEU","42958.7723177588"
"DJI","2807.03591075583"
"DMA","10148.5593198255"
"DNK","42868.6453354734"
"DOM","11391.3204434179"
"DZA","12778.5466656296"
"ECU","10232.8056445241"
"EGY","10682.8317051908"
"ERI","1179.7752943577"
"ESP","31970.7206374629"
"EST","24760.5598674959"
"ETH","1240.17193989907"
"FIN","39488.9775360183"
"FJI","7302.60302109224"
"FRA","37226.9617081215"
"FRO",NA
"FSM","3427.7571386906"
"GAB","17252.0078776385"
"GBR","36535.3748189428"
"GEO","6702.37575400442"
"GHA","3684.93112269922"
"GIN","1216.04979155789"
"GMB","1584.17831456322"
"GNB","1390.63801593541"
"GNQ","35281.8303681257"
"GRC","24990.7693941672"
"GRD","11045.6104564567"
"GTM","6985.19364359565"
"GUM",NA
"GUY","6053.65871071809"
"HKG","50346.649117249"
"HND","4131.07196816521"
"HRV","20182.8301749015"
"HTI","1602.81449647857"
"HUN","22305.8397513194"
"IDN","9326.83860752598"
"IND","4966.81102445723"
"IRL","44673.440615643"
"IRN","16067.6409204347"
"IRQ","14544.5472675455"
"ISL","39925.3699765394"
"ISR","30518.0630196521"
"ITA","34812.6837210723"
"JAM","8520.89497075678"
"JOR","11340.2267733948"
"JPN","34987.6082822544"
"KAZ","21505.6512171149"
"KEN","2630.5328317331"
"KGZ","2869.83896203769"
"KHM","2790.43087295551"
"KIR","1771.52614790875"
"KNA","20097.6003085836"
"KOR","31901.0729273983"
"KSV","8386.78866702965"
"KWT","81079.5728468264"
"LAO","4381.14972779626"
"LBN","16632.8712277863"
"LBR","782.387253613699"
"LBY","23032.3574581914"
"LCA","10274.6595513108"
"LIE",NA
"LKA","8855.50382213737"
"LSO","2390.32214958837"
"LTU","23710.9783411361"
"LUX","89153.0593315617"
"LVA","20597.4679146089"
"MAC","125515.187908153"
"MAF",NA
"MAR","6776.72046432164"
"MCO",NA
"MDA","4150.50475491178"
"MDG","1374.18887969963"
"MDV","12636.6908001109"
"MEX","16320.1446456655"
"MHL","3671.80145456734"
"MKD","11369.7201929503"
"MLI","1602.66042944707"
"MLT","28271.0464965321"
"MMR",NA
"MNE","13711.73948235"
"MNG","9850.92914990173"
"MOZ","1016.69893505378"
"MRT","3470.11719724234"
"MUS","16650.7886360008"
"MWI","739.862150475938"
"MYS","21920.2224723596"
"NAM","8995.40092982931"
"NCL",NA
"NER","891.47566306488"
"NGA","5290.85934863186"
"NIC","4303.85200631583"
"NLD","45484.0825178533"
"NOR","63620.043290103"
"NPL","2118.23313510171"
"NZL","32805.7563246491"
"OMN","44059.5621157814"
"PAK","4337.01539607288"
"PAN","17627.0285798009"
"PER","10912.5616001389"
"PHL","6005.31277389349"
"PLW","13531.9416528711"
"PNG","2476.07291416953"
"POL","22740.2249332078"
"PRI","33580.3000157071"
"PRK",NA
"PRT","25952.506623464"
"PRY","6975.46666388683"
"PYF",NA
"QAT","130989.826003672"
"ROM","17502.0387144425"
"RUS","23299.1939312113"
"RWA","1400.43966740899"
"SAU","50915.6046691754"
"SDN","3856.40916069334"
"SEN","2173.52325439674"
"SGP","75630.3628873427"
"SLB","2023.5433924003"
"SLE","1582.16718549524"
"SLV","7441.75338004112"
"SMR",NA
"SOM",NA
"SRB","12504.7903561448"
"SSD","1810.09002864158"
"STP","2837.11374351178"
"SUR","15254.3084508762"
"SVK","25424.3592556429"
"SVN","27681.6683888692"
"SWE","43262.8339991271"
"SWZ","5910.271653036"
"SYC","23685.287843145"
"SYR",NA
"TCD","2003.39620440228"
"TGO","1313.93678772896"
"THA","13586.1108817877"
"TJK","2320.32712029593"
"TKM","12460.057714046"
"TMP","2039.73507491863"
"TON","5031.70586934385"
"TTO","29085.7534451981"
"TUN","10609.0515955737"
"TUR","18057.1601885345"
"TUV","3488.6635737431"
"TZA","2288.43449093336"
"UGA","1622.4869651486"
"UKR","8318.9615741512"
"URY","18447.2755035922"
"USA","50549.1871362286"
"UZB","4704.52943472239"
"VCT","9997.22411976755"
"VEN","17642.397005779"
"VIR",NA
"VNM","4912.32220596109"
"VUT","2902.23067442628"
"WBG","4841.81348303542"
"WSM","5653.82798760434"
"YEM","3764.98835833029"
"ZAF","12374.5327849421"
"ZAR","685.300252990491"
"ZMB","3677.76718811813"
"ZWE","1749.80705384763"
