"CountryCode","InfantMortality"
"ABW",NA
"ADO","2.3"
"AFG","71.7"
"AGO","104.1"
"ALB","13.8"
"ARE","6.7"
"ARG","12.3"
"ARM","14.6"
"ATG","6.8"
"AUS","3.6"
"AUT","3.3"
"AZE","31.2"
"BDI","59.5"
"BEL","3.5"
"BEN","68.5"
"BFA","65.4"
"BGD","35.3"
"BGR","10.5"
"BHR","6.3"
"BHS","10.9"
"BIH","5.9"
"BLR","4"
"BLZ","15.5"
"BMU",NA
"BOL","34"
"BRA","14.3"
"BRB","13"
"BRN","8.1"
"BTN","30.8"
"BWA","38.2"
"CAF","97.7"
"CAN","4.7"
"CHE","3.7"
"CHI",NA
"CHL","7.4"
"CHN","11.5"
"CIV","72.8"
"CMR","62.4"
"COG","37.6"
"COL","14.9"
"COM","59.8"
"CPV","22.4"
"CRI","8.8"
"CUB","4.6"
"CYP","2.8"
"CZE","3.2"
"DEU","3.3"
"DJI","58.9"
"DMA","18.7"
"DNK","3.2"
"DOM","27.1"
"DZA","22.4"
"ECU","20.1"
"EGY","22.6"
"ERI","37"
"ESP","3.7"
"EST","2.9"
"ETH","46.2"
"FIN","2.2"
"FJI","20"
"FRA","3.5"
"FRO",NA
"FSM","31.1"
"GAB","39.7"
"GBR","4.1"
"GEO","12.8"
"GHA","47"
"GIN","66.8"
"GMB","50.1"
"GNB","67.4"
"GNQ","74.3"
"GRC","3.9"
"GRD","11.5"
"GTM","26.6"
"GUM",NA
"GUY","33.3"
"HKG",NA
"HND","19.2"
"HRV","4.1"
"HTI","56.2"
"HUN","5.4"
"IDN","25.3"
"IND","42.6"
"IRL","3.4"
"IRN","15.1"
"IRQ","28.7"
"ISL","1.7"
"ISR","3.4"
"ITA","3.2"
"JAM","14.8"
"JOR","16.8"
"JPN","2.2"
"KAZ","16"
"KEN","39.2"
"KGZ","22.9"
"KHM","30.7"
"KIR","46.6"
"KNA","9.3"
"KOR","3.3"
"KSV",NA
"KWT","8.5"
"LAO","55.4"
"LBN","7.9"
"LBR","59.4"
"LBY","12.9"
"LCA","13.6"
"LIE",NA
"LKA","8.9"
"LSO","72.3"
"LTU","4.5"
"LUX","1.6"
"LVA","7.6"
"MAC",NA
"MAF",NA
"MAR","26.4"
"MCO","3.1"
"MDA","14.3"
"MDG","39.3"
"MDV","9.2"
"MEX","13.1"
"MHL","31.2"
"MKD","6.5"
"MLI","79.2"
"MLT","5.5"
"MMR","43.2"
"MNE","5.3"
"MNG","22.1"
"MOZ","63.6"
"MRT","68.1"
"MUS","12.8"
"MWI","50.2"
"MYS","6.6"
"NAM","35.5"
"NCL",NA
"NER","61.6"
"NGA","76.2"
"NIC","20.6"
"NLD","3.5"
"NOR","2.3"
"NPL","33.1"
"NZL","4.9"
"OMN","10"
"PAK","70.6"
"PAN","16"
"PER","14.9"
"PHL","23.9"
"PLW","15.7"
"PNG","48"
"POL","4.6"
"PRI",NA
"PRK","22.7"
"PRT","3.1"
"PRY","19.2"
"PYF",NA
"QAT","7.3"
"ROM","10.9"
"RUS","9.3"
"RWA","37.1"
"SAU","13.8"
"SDN","51.1"
"SEN","44.1"
"SGP","2.2"
"SLB","25.5"
"SLE","97.9"
"SLV","16"
"SMR","2.9"
"SOM","92.6"
"SRB","6.2"
"SSD","66.1"
"STP","37.5"
"SUR","20.8"
"SVK","6.5"
"SVN","2.4"
"SWE","2.4"
"SWZ","51.5"
"SYC","12.2"
"SYR","12.6"
"TCD","90.2"
"TGO","56.5"
"THA","11.6"
"TJK","42.1"
"TKM","47.6"
"TMP","49.3"
"TON","15"
"TTO","19.7"
"TUN","13.6"
"TUR","14.2"
"TUV","24.9"
"TZA","38.8"
"UGA","42.5"
"UKR","9.1"
"URY","10"
"USA","6.1"
"UZB","37.2"
"VCT","17.8"
"VEN","13.8"
"VIR",NA
"VNM","18.8"
"VUT","24"
"WBG","19.4"
"WSM","15.8"
"YEM","38.4"
"ZAF","36.8"
"ZAR","80.5"
"ZMB","49"
"ZWE","49.4"
