"CountryCode","Literacy"
"ABW",NA
"ADO",NA
"AFG",NA
"AGO","70.58037"
"ALB",NA
"ARE",NA
"ARG","97.91609"
"ARM","99.60995"
"ATG","98.95"
"AUS",NA
"AUT",NA
"AZE","99.77577"
"BDI",NA
"BEL",NA
"BEN",NA
"BFA",NA
"BGD","58.78772"
"BGR",NA
"BHR",NA
"BHS",NA
"BIH","98.15338"
"BLR",NA
"BLZ",NA
"BMU",NA
"BOL","94.46056"
"BRA","91.33374"
"BRB",NA
"BRN","95.39485"
"BTN",NA
"BWA","86.72881"
"CAF",NA
"CAN",NA
"CHE",NA
"CHI",NA
"CHL",NA
"CHN",NA
"CIV","40.98163"
"CMR",NA
"COG",NA
"COL",NA
"COM","75.93975"
"CPV","85.32779"
"CRI",NA
"CUB","99.83741"
"CYP",NA
"CZE",NA
"DEU",NA
"DJI",NA
"DMA",NA
"DNK",NA
"DOM","90.15518"
"DZA",NA
"ECU",NA
"EGY","73.86559"
"ERI","70.49176"
"ESP","97.89454"
"EST",NA
"ETH",NA
"FIN",NA
"FJI",NA
"FRA",NA
"FRO",NA
"FSM",NA
"GAB","82.2838"
"GBR",NA
"GEO","99.73916"
"GHA",NA
"GIN",NA
"GMB","52.00436"
"GNB","56.73513"
"GNQ","94.51381"
"GRC","97.36377"
"GRD",NA
"GTM","78.26485"
"GUM",NA
"GUY",NA
"HKG",NA
"HND","85.35555"
"HRV",NA
"HTI",NA
"HUN","99.37356"
"IDN",NA
"IND",NA
"IRL",NA
"IRN","84.27951"
"IRQ","79.002"
"ISL",NA
"ISR",NA
"ITA","99.02561"
"JAM","87.48202"
"JOR","97.89032"
"JPN",NA
"KAZ",NA
"KEN",NA
"KGZ",NA
"KHM",NA
"KIR",NA
"KNA",NA
"KOR",NA
"KSV",NA
"KWT","95.51318"
"LAO",NA
"LBN",NA
"LBR",NA
"LBY","89.87944"
"LCA",NA
"LIE",NA
"LKA",NA
"LSO",NA
"LTU",NA
"LUX",NA
"LVA",NA
"MAC",NA
"MAF",NA
"MAR",NA
"MCO",NA
"MDA","99.0681"
"MDG",NA
"MDV",NA
"MEX","94.2284"
"MHL",NA
"MKD","97.53706"
"MLI",NA
"MLT",NA
"MMR","92.62518"
"MNE",NA
"MNG",NA
"MOZ",NA
"MRT",NA
"MUS",NA
"MWI",NA
"MYS",NA
"NAM",NA
"NCL","96.53191"
"NER","15.4567"
"NGA",NA
"NIC",NA
"NLD",NA
"NOR",NA
"NPL",NA
"NZL",NA
"OMN",NA
"PAK",NA
"PAN",NA
"PER","93.84173"
"PHL",NA
"PLW",NA
"PNG","62.88184"
"POL","99.74763"
"PRI",NA
"PRK",NA
"PRT",NA
"PRY",NA
"PYF",NA
"QAT","96.6786"
"ROM",NA
"RUS",NA
"RWA",NA
"SAU",NA
"SDN","73.4361"
"SEN",NA
"SGP","96.36598"
"SLB",NA
"SLE","44.46473"
"SLV",NA
"SMR",NA
"SOM",NA
"SRB","98.15667"
"SSD",NA
"STP",NA
"SUR",NA
"SVK",NA
"SVN","99.70063"
"SWE",NA
"SWZ",NA
"SYC","91.83646"
"SYR","85.08057"
"TCD","37.26705"
"TGO",NA
"THA",NA
"TJK","99.73744"
"TKM","99.63048"
"TMP",NA
"TON",NA
"TTO","98.81423"
"TUN",NA
"TUR","94.91975"
"TUV",NA
"TZA",NA
"UGA",NA
"UKR","99.73022"
"URY","98.39594"
"USA",NA
"UZB","99.47691"
"VCT",NA
"VEN",NA
"VIR",NA
"VNM",NA
"VUT","83.35976"
"WBG","95.91376"
"WSM","98.86488"
"YEM","66.37377"
"ZAF","93.72947"
"ZAR",NA
"ZMB",NA
"ZWE",NA
