"CountryCode","Unemployment"
"ABW",NA
"ADO",NA
"AFG",NA
"AGO",NA
"ALB","13.4376096725464"
"ARE",NA
"ARG","7.19999980926514"
"ARM",NA
"ATG",NA
"AUS","5.19999980926514"
"AUT","4.30000019073486"
"AZE","5.19999980926514"
"BDI",NA
"BEL","7.5"
"BEN",NA
"BFA",NA
"BGD",NA
"BGR","12.269947052002"
"BHR","1.20000004768372"
"BHS","14"
"BIH","28.1000003814697"
"BLR",NA
"BLZ","14.4300003051758"
"BMU","8.4399995803833"
"BOL",NA
"BRA",NA
"BRB","11.6000003814697"
"BRN",NA
"BTN","2.09999990463257"
"BWA",NA
"CAF",NA
"CAN","7.19999980926514"
"CHE","4.19999980926514"
"CHI",NA
"CHL","6.40000009536743"
"CHN",NA
"CIV","9.40999984741211"
"CMR",NA
"COG",NA
"COL","10.6000003814697"
"COM",NA
"CPV",NA
"CRI","7.80000019073486"
"CUB",NA
"CYP","11.7952156066895"
"CZE","7"
"DEU","5.5"
"DJI",NA
"DMA",NA
"DNK","7.5"
"DOM","14.7399997711182"
"DZA","10.9700002670288"
"ECU","4.09999990463257"
"EGY","12.6999998092651"
"ERI",NA
"ESP","24.7999992370605"
"EST","10.0211400985718"
"ETH","17.5499992370605"
"FIN","7.59999990463257"
"FJI",NA
"FRA","9.82859992980957"
"FRO","3.02999997138977"
"FSM",NA
"GAB",NA
"GBR","7.90000009536743"
"GEO","15"
"GHA",NA
"GIN","1.72000002861023"
"GMB",NA
"GNB",NA
"GNQ",NA
"GRC","24.2000007629395"
"GRD",NA
"GTM","2.90000009536743"
"GUM","12.1999998092651"
"GUY",NA
"HKG","3.29999995231628"
"HND",NA
"HRV","15.8311071395874"
"HTI",NA
"HUN","10.8999996185303"
"IDN","6.1399998664856"
"IND","3.59999990463257"
"IRL","14.6717109680176"
"IRN",NA
"IRQ",NA
"ISL","6"
"ISR","6.90000009536743"
"ITA","10.6995830535889"
"JAM","13.6999998092651"
"JOR","12.1999998092651"
"JPN","4.30000019073486"
"KAZ","5.30000019073486"
"KEN",NA
"KGZ","8.43000030517578"
"KHM","0.200000002980232"
"KIR",NA
"KNA",NA
"KOR","3.20000004768372"
"KSV","30.8999996185303"
"KWT",NA
"LAO",NA
"LBN",NA
"LBR",NA
"LBY","19.0300006866455"
"LCA","19.0599994659424"
"LIE",NA
"LKA","4"
"LSO",NA
"LTU","13.3647556304932"
"LUX","5.09999990463257"
"LVA","15.0467004776001"
"MAC",NA
"MAF",NA
"MAR","9"
"MCO",NA
"MDA","5.59999990463257"
"MDG",NA
"MDV",NA
"MEX","4.80000019073486"
"MHL",NA
"MKD","31.0164432525635"
"MLI",NA
"MLT","6.30786275863647"
"MMR",NA
"MNE","19.6000003814697"
"MNG","8.22999954223633"
"MOZ","22.5499992370605"
"MRT",NA
"MUS","8.69999980926514"
"MWI",NA
"MYS","3"
"NAM","16.7000007629395"
"NCL",NA
"NER",NA
"NGA",NA
"NIC",NA
"NLD","5.30000019073486"
"NOR","3.20000004768372"
"NPL",NA
"NZL","6.90000009536743"
"OMN",NA
"PAK",NA
"PAN","4"
"PER","3.59999990463257"
"PHL","7"
"PLW",NA
"PNG",NA
"POL","10.1000003814697"
"PRI","14.5"
"PRK",NA
"PRT","15.5"
"PRY","4.90000009536743"
"PYF",NA
"QAT","0.5"
"ROM","7.03742170333862"
"RUS","5.5"
"RWA","3.44000005722046"
"SAU","5.59999990463257"
"SDN",NA
"SEN",NA
"SGP","2.79999995231628"
"SLB",NA
"SLE",NA
"SLV","6.09999990463257"
"SMR","6.09999990463257"
"SOM",NA
"SRB","23.8999996185303"
"SSD",NA
"STP",NA
"SUR",NA
"SVK","13.8999996185303"
"SVN","8.80000019073486"
"SWE","8"
"SWZ",NA
"SYC",NA
"SYR",NA
"TCD",NA
"TGO",NA
"THA","0.699999988079071"
"TJK",NA
"TKM",NA
"TMP",NA
"TON",NA
"TTO","5.03999996185303"
"TUN","17.6299991607666"
"TUR","9.19999980926514"
"TUV",NA
"TZA",NA
"UGA",NA
"UKR","7.5"
"URY","6.5"
"USA","8.10000038146973"
"UZB",NA
"VCT",NA
"VEN","8.10000038146973"
"VIR",NA
"VNM","1.79999995231628"
"VUT",NA
"WBG","23"
"WSM",NA
"YEM",NA
"ZAF","24.7000007629395"
"ZAR",NA
"ZMB","7.84999990463257"
"ZWE","11.0699996948242"
