"year","age","gender","race","education","south","income","party_id","interest","gov_trust","abortion","dem_thermometer","rep_thermometer"
2012,86,2,2,1,1,1,1,3,3,2,97,0
2012,79,1,2,1,1,2,1,3,NA,3,97,0
2012,72,2,2,5,1,1,1,3,NA,4,97,0
2012,54,2,2,5,1,1,1,2,2,4,97,85
2012,35,1,2,3,1,3,3,3,NA,4,70,40
2012,80,1,2,1,1,1,4,3,9,9,97,14
2012,50,2,2,2,1,1,1,3,NA,2,97,15
2012,70,2,2,2,1,1,3,3,NA,2,97,50
2012,22,2,2,6,1,3,1,3,NA,4,60,50
2012,49,1,1,6,2,2,6,3,NA,3,50,60
2012,0,1,1,6,2,5,5,3,2,3,30,15
2012,47,1,1,6,2,5,5,3,2,4,50,50
2012,64,2,1,5,2,4,2,2,3,3,70,30
2012,56,2,1,5,2,3,4,3,2,4,30,15
2012,59,2,1,6,2,4,7,3,NA,2,0,60
2012,61,1,1,6,2,1,6,3,2,4,15,60
2012,51,1,1,6,2,4,6,3,NA,3,15,40
2012,61,2,1,3,2,2,1,2,2,4,85,30
2012,34,2,1,2,1,1,6,2,NA,2,50,50
2012,48,2,3,2,1,2,3,3,NA,2,15,0
2012,25,1,1,5,1,2,7,3,2,4,30,40
2012,34,2,1,3,1,1,3,3,3,3,30,30
2012,29,1,1,3,1,3,2,2,NA,3,50,40
2012,85,2,1,1,1,1,1,3,2,2,85,50
2012,77,1,1,1,1,3,4,2,2,2,50,50
2012,51,1,1,5,1,0,2,2,NA,1,40,40
2012,53,1,1,5,1,2,5,3,NA,1,30,70
2012,83,2,1,5,1,4,7,3,NA,4,0,85
2012,56,1,1,2,1,3,4,2,NA,2,30,30
2012,53,1,1,5,2,1,3,3,NA,4,40,15
2012,52,2,2,6,2,4,3,3,NA,4,70,15
2012,36,2,3,5,2,3,3,3,2,4,85,50
2012,74,2,2,5,2,2,3,2,2,4,40,0
2012,0,2,3,3,2,3,3,2,NA,3,50,40
2012,54,1,3,3,2,3,2,2,3,2,85,30
2012,45,2,3,5,2,1,4,2,1,4,60,60
2012,30,2,3,5,2,3,3,2,2,2,70,85
2012,18,2,3,2,2,1,3,3,NA,4,50,50
2012,39,2,3,5,2,3,2,2,2,4,70,40
2012,21,2,3,4,2,1,4,3,2,1,99,99
2012,43,2,3,6,2,4,7,3,2,4,15,85
2012,51,2,1,6,2,0,1,3,NA,0,75,50
2012,32,2,3,6,2,4,2,3,3,4,70,50
2012,64,2,1,6,2,2,5,3,2,1,0,70
2012,32,2,1,3,2,4,6,3,2,4,30,70
2012,49,2,3,6,2,3,6,3,3,2,15,70
2012,30,2,1,6,2,4,7,2,NA,2,15,15
2012,62,1,1,6,2,4,5,3,NA,4,0,50
2012,30,2,1,5,2,3,6,2,NA,4,50,70
2012,61,2,3,5,2,3,7,3,2,2,15,85
2012,40,1,3,5,2,3,2,2,3,2,80,50
2012,42,1,1,5,2,0,6,3,1,9,15,50
2012,33,2,3,5,2,4,5,2,1,4,20,20
2012,30,2,1,5,2,3,4,3,NA,4,98,98
2012,48,1,3,3,2,0,4,3,NA,4,50,50
