"state","communityname","PolicReqPerOffic","PolicPerPop","RacialMatchCommPol","PctPolicWhite","PctPolicBlack","PctPolicHisp","PctPolicAsian","PctPolicMinor","OfficAssgnDrugUnits","NumKindsDrugsSeiz","PolicAveOTWorked","LandArea","PopDens","PctUsePubTrans","PolicCars","PolicOperBudg","LemasPctPolicOnPatr","LemasGangUnitDeploy","LemasPctOfficDrugUn","PolicBudgPerPop","ViolentCrimesPerPop"
8,"Lakewoodcity",0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2
53,"Tukwilacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.12,0.45,NA,NA,NA,NA,0,NA,0.67
24,"Aberdeentown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.21,0.02,NA,NA,NA,NA,0,NA,0.43
34,"Willingborotownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.39,0.28,NA,NA,NA,NA,0,NA,0.12
42,"Bethlehemtownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.09,0.02,NA,NA,NA,NA,0,NA,0.03
6,"SouthPasadenacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.58,0.1,NA,NA,NA,NA,0,NA,0.14
44,"Lincolntown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.08,0.06,NA,NA,NA,NA,0,NA,0.03
6,"Selmacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.33,0,NA,NA,NA,NA,0,NA,0.55
21,"Hendersoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.17,0.04,NA,NA,NA,NA,0,NA,0.53
29,"Claytoncity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.47,0.11,NA,NA,NA,NA,0,NA,0.15
6,"DalyCitycity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,1,NA,NA,NA,NA,0,NA,0.24
36,"RockvilleCentrevillage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.63,1,NA,NA,NA,NA,0,NA,0.08
25,"Needhamtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.18,0.59,NA,NA,NA,NA,0,NA,0.06
55,"GrandChutetown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.04,0,NA,NA,NA,NA,0,NA,0.09
6,"DanaPointcity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.4,0.15,NA,NA,NA,NA,0,NA,0.21
19,"FortDodgecity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.15,0.04,NA,NA,NA,NA,0,NA,0.3
36,"Albanycity",0.23,0.3,0.61,0.89,0.15,0.01,0.06,0.12,0.1,0.64,0.22,0.06,0.39,0.84,0.06,0.06,0.91,0.5,0.88,0.26,0.49
34,"Denvilletownship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.09,0.21,NA,NA,NA,NA,0,NA,0.07
18,"Valparaisocity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.2,0.07,NA,NA,NA,NA,0,NA,0.15
