"gender","age","education","hours","weeks","salary"
1,20,42,20,50,4000
0,23,40,50,30,15000
0,24,39,45,52,30440
0,18,40,35,10,4000
1,18,40,10,52,1625
0,17,37,20,26,3700
1,21,34,40,52,8528
0,17,36,45,52,3000
1,17,37,8,52,5200
1,17,37,26,52,1248
0,17,36,16,6,500
1,21,39,35,20,20000
0,17,36,40,8,800
1,21,35,48,52,23000
1,19,40,15,52,9400
1,18,39,20,14,1919
0,20,40,40,14,1891
1,17,37,30,5,800
0,23,40,25,45,10850
1,21,39,35,52,10000
0,17,37,4,52,2330
0,23,40,20,40,15000
0,19,39,25,52,14000
0,24,43,40,52,11500
1,21,39,40,40,9800
0,17,36,20,20,2450
0,17,33,45,52,4000
1,24,39,40,52,15000
0,24,40,30,30,8500
1,23,40,40,52,21000
1,24,41,40,52,10300
0,22,40,30,20,2200
1,21,39,40,52,4900
1,24,40,40,52,16000
0,22,39,35,30,8000
1,19,39,20,45,3680
1,22,38,7,12,300
0,22,31,40,52,12000
1,21,40,20,26,2600
1,19,39,30,28,5900
1,24,43,40,52,10600
0,16,34,15,25,1000
1,21,39,20,9,990
0,20,36,40,52,12000
0,17,35,11,52,2330
1,24,43,40,39,11000
0,20,39,35,26,5200
0,17,35,20,8,800
1,23,39,40,52,25000
0,19,39,40,26,9520
1,24,42,40,52,26000
1,19,39,20,4,270
0,18,40,15,15,3000
0,22,40,40,52,12000
0,21,39,60,52,16000
0,24,40,40,52,29200
0,17,37,15,35,2000
0,23,40,35,12,2000
1,23,40,40,52,15000
0,17,37,25,10,600
1,18,39,15,20,800
0,20,40,40,16,3000
1,17,38,15,12,2000
1,21,41,40,52,15600
1,23,40,40,45,11440
0,18,39,20,26,2000
0,19,40,20,52,3200
0,24,40,60,52,42000
1,22,36,30,52,5000
0,18,37,20,40,4798
1,20,40,10,2,300
0,24,40,36,52,10000
0,20,39,40,30,2600
0,24,38,40,52,15000
1,17,37,20,52,5200
0,18,39,30,6,90
0,24,40,40,51,35000
1,24,39,32,52,5000
1,23,40,25,24,3900
1,21,39,32,52,8000
1,24,43,40,52,19550
1,21,40,10,45,3000
0,17,37,45,10,3000
0,18,35,40,12,840
1,22,39,30,33,5385
0,21,33,40,52,6400
0,17,36,8,4,128
0,19,39,55,52,29000
0,24,39,40,52,30000
0,17,35,15,9,650
0,20,39,40,35,9800
1,23,43,15,40,2000
0,23,41,40,52,20000
0,24,43,40,52,13200
1,24,40,40,52,24000
1,19,40,20,30,4800
1,23,42,40,8,2000
1,24,43,40,44,24400
1,24,43,26,52,7500
1,21,40,38,8,3100
0,22,39,30,36,14000
0,20,40,50,30,11846
0,18,35,25,9,972
1,22,39,50,12,2500
0,16,36,15,8,140
0,20,39,40,5,1100
0,15,34,5,6,100
0,16,35,2,6,100
1,23,40,15,26,4500
0,23,43,34,30,5000
0,16,35,25,10,2500
0,20,39,25,52,8400
0,23,40,40,52,21109
0,23,41,50,52,26000
0,18,39,40,16,11000
1,21,39,40,52,15000
1,19,39,40,52,15600
0,22,40,40,52,25000
0,21,39,54,50,10000
1,24,43,40,52,15000
1,17,37,20,4,200
0,18,37,6,50,600
0,24,40,50,52,15000
0,22,40,40,12,1500
1,18,39,8,40,2500
1,22,40,35,52,10000
0,21,40,40,14,4000
1,18,40,20,26,600
0,19,40,10,15,5000
0,24,43,40,52,40000
1,24,40,40,52,28000
0,20,36,60,26,3050
1,21,40,30,30,6453
1,16,36,30,8,2000
0,24,39,35,52,15000
0,18,40,40,12,2000
1,17,37,25,16,1149
1,21,40,40,52,4400
0,23,32,40,52,4420
0,18,40,20,45,4750
0,20,39,32,52,11310
1,17,37,12,8,874
1,20,40,20,52,6200
0,16,39,15,4,200
1,24,43,40,51,13000
1,22,39,40,52,18857
0,19,39,20,26,5200
1,22,42,40,52,14000
0,24,39,60,52,28000
0,15,34,15,6,200
1,17,38,30,12,1725
1,24,40,50,52,20800
1,19,40,10,52,4000
0,17,37,16,28,3000
0,21,39,50,50,16900
1,18,37,22,20,7300
0,20,40,8,48,2889
1,21,43,40,28,11000
1,23,40,23,52,8000
0,17,38,40,52,3000
0,19,37,40,20,5250
1,28,39,40,52,25000
0,30,41,84,26,18350
1,30,40,32,52,18000
1,28,39,40,52,23400
0,27,40,45,52,50000
1,30,39,40,52,19000
1,28,42,40,52,4000
0,29,34,40,52,15000
1,29,44,60,52,32000
0,30,40,40,52,36000
1,26,35,40,12,900
1,29,42,15,15,1443
1,26,39,15,52,4680
0,26,40,42,52,24000
0,31,43,30,3,800
1,31,43,8,15,1500
1,28,43,45,37,11860
1,26,42,60,52,4700
1,26,43,40,40,22000
0,31,39,70,52,28000
1,26,40,40,26,3300
0,33,43,50,52,36000
1,25,39,37,52,13000
0,27,41,55,52,24000
0,27,39,40,52,20800
0,32,40,40,52,50000
0,31,43,40,52,37964
1,33,43,45,52,77000
1,32,43,40,52,36000
0,32,40,60,52,28000
0,29,39,40,52,25500
0,33,44,50,51,40000
0,31,39,40,52,16269
1,29,40,40,52,25000
1,33,43,35,52,25400
0,33,41,50,52,40000
0,26,40,40,20,4200
1,31,41,40,52,39200
0,29,40,66,52,30000
0,30,37,60,52,7800
0,33,40,46,52,36000
0,25,39,40,52,25000
0,31,39,45,52,29000
1,32,39,40,52,10000
0,31,45,50,52,36000
1,33,40,8,40,10657
0,31,43,50,52,22500
1,32,39,40,52,9000
0,28,45,75,52,29000
0,34,39,40,52,12480
1,32,43,45,52,24000
0,27,36,40,32,7100
0,25,43,40,52,35000
1,31,39,45,52,21100
0,29,39,72,51,25000
0,29,39,35,52,21000
0,32,39,60,52,28200
1,28,39,60,52,25000
1,31,39,40,52,17000
1,33,41,30,52,32000
1,31,43,40,52,35000
0,31,35,40,52,11000
0,30,37,40,52,17000
1,33,44,30,52,15000
0,32,43,40,52,25500
0,26,43,45,52,20000
1,30,40,40,17,6600
0,28,43,45,52,22000
0,32,42,50,52,35000
1,28,40,40,52,19002
1,25,43,42,52,33000
0,26,35,40,52,22350
1,27,39,40,52,18000
1,25,43,40,52,15000
0,28,39,48,52,25412
1,26,46,8,44,15100
0,25,40,37,52,18000
0,31,40,50,52,16000
1,27,43,35,52,9100
1,26,40,40,52,17000
0,29,40,40,52,23400
1,30,41,36,48,24000
1,33,42,40,36,10080
1,33,39,40,52,13316
1,30,39,40,52,24000
1,32,43,40,52,27000
1,26,39,40,32,8400
0,34,40,40,52,19160
0,33,40,52,52,40000
0,33,42,40,52,40000
1,27,36,24,52,3000
0,27,39,40,52,26400
0,28,35,35,52,6000
1,29,43,45,52,31040
1,34,40,36,52,8192
1,31,40,40,52,50000
0,28,39,55,48,14000
1,32,43,45,52,67000
0,34,39,40,52,33750
0,31,39,45,52,29000
1,25,39,42,40,14227
1,33,39,25,43,7000
1,27,43,40,52,23500
1,27,43,40,52,34000
0,27,43,44,52,15500
0,30,43,40,52,27000
0,30,43,35,46,18000
0,29,41,40,52,16976
0,25,42,40,52,50000
1,28,39,40,9,8000
1,33,41,35,52,10000
0,31,44,60,43,15600
0,28,33,40,52,13000
1,30,37,15,28,5040
0,32,39,40,52,12000
1,31,39,40,52,27624
1,28,39,45,52,28000
1,26,43,40,52,22000
0,31,43,50,52,43000
0,33,40,45,44,24500
1,32,39,50,52,30000
1,34,41,45,52,26000
1,28,40,40,48,11490
1,33,42,36,52,30000
1,34,45,40,52,34000
1,29,39,40,40,5671
0,31,43,45,52,64000
1,33,41,40,52,26000
1,32,39,40,52,15200
0,28,39,40,52,8800
1,33,39,30,12,998
0,33,41,40,52,28000
1,29,39,9,52,6000
1,27,42,20,52,11000
1,33,44,45,52,55000
1,31,43,40,52,30000
0,34,43,55,52,75000
0,29,39,40,52,25000
1,30,40,40,52,25000
1,31,39,35,52,9000
0,32,39,40,52,40000
1,25,39,50,52,13000
0,26,40,50,52,17794
1,26,39,32,52,6811
0,33,39,40,27,10250
1,33,40,16,52,14400
1,28,40,40,40,16000
1,27,43,12,37,3712
1,27,43,45,52,27000
1,33,39,40,52,25000
0,27,39,40,52,20000
1,32,40,37,52,21000
1,25,39,40,52,17000
0,28,42,40,52,16080
1,30,45,40,52,42200
1,30,43,40,30,22000
1,27,36,48,52,16000
0,34,40,50,52,26500
0,25,40,40,51,30772
1,32,39,70,52,5800
1,31,39,45,52,17300
1,25,41,25,52,3800
0,27,39,44,52,25000
0,32,43,40,50,27000
1,31,41,45,50,10000
1,34,39,40,52,33000
1,33,40,40,52,37500
1,33,39,40,50,3000
1,33,39,40,49,7960
1,33,35,43,52,14820
1,33,43,40,16,10000
1,25,42,40,52,10000
0,32,43,20,26,7000
0,28,39,40,30,6920
0,30,43,40,52,55000
0,26,32,12,37,7140
1,34,43,24,36,8000
1,34,40,17,18,2220
1,34,42,40,52,27000
0,27,43,44,52,15000
0,33,34,40,52,20000
0,33,39,40,52,14500
0,25,39,40,50,16000
0,31,34,45,52,21000
0,26,39,40,52,20000
1,30,39,40,52,17000
0,31,44,40,30,20000
1,29,34,50,52,9100
1,29,43,45,52,67000
0,28,40,40,52,6366
0,32,39,40,52,6500
1,27,43,20,18,3000
0,31,43,65,52,17800
0,30,35,70,44,32000
0,25,40,50,52,19481
1,26,40,28,52,14500
0,28,43,40,52,13000
1,29,44,40,52,34000
0,32,39,40,40,13000
0,31,40,40,52,19160
0,29,43,45,52,27000
0,31,41,20,52,22000
1,34,43,3,12,700
0,29,40,40,52,16000
0,30,40,35,52,16100
0,27,34,40,52,11500
0,33,38,40,52,22178
0,34,39,45,32,20000
1,25,40,52,52,32000
0,29,39,40,52,35002
1,27,40,40,52,15600
1,33,39,20,20,4482
0,26,43,70,52,10000
1,30,45,50,52,67000
0,34,40,40,52,12960
0,27,43,15,12,1600
0,27,44,40,12,3720
1,30,43,40,52,27000
1,25,43,50,52,30600
0,31,38,40,52,30000
1,27,43,40,52,42000
0,31,37,40,16,6000
1,29,41,40,46,26700
1,31,43,40,30,14000
1,30,43,10,20,5000
1,33,40,40,52,25000
0,27,39,40,52,27000
1,31,41,33,52,28000
1,30,42,68,52,20000
1,34,43,44,48,17000
1,33,31,40,50,11300
0,25,40,50,20,25000
0,26,39,40,52,25000
0,29,39,40,52,29000
1,28,41,40,36,9434
0,31,43,40,52,29000
0,33,42,50,52,50000
0,28,39,45,48,32500
0,29,34,40,39,8558
0,31,42,40,10,3000
1,32,39,70,52,19500
1,25,43,40,52,30000
1,31,39,40,52,18000
0,31,39,50,52,12000
1,31,39,40,52,21000
0,38,38,50,52,44900
1,40,39,40,52,14000
0,37,39,40,52,24000
1,40,39,14,52,4200
1,36,41,30,52,19500
1,38,43,50,52,32000
0,38,39,30,52,24000
1,38,40,40,42,10500
1,40,42,40,52,45000
0,36,43,50,52,50000
0,38,40,50,52,13000
0,41,39,43,52,39000
0,44,40,50,52,36732
0,38,43,40,52,28800
1,38,39,40,52,12827
1,42,39,40,52,12000
0,39,39,40,52,19800
0,43,39,40,52,30000
0,38,43,45,52,45000
0,35,44,40,52,33000
0,39,43,40,52,33000
1,38,40,40,52,22000
1,43,42,30,52,7800
0,43,45,40,52,73810
0,39,39,40,51,15000
0,43,43,40,52,51130
